account_id,segment,plan,tenure_months,seats,mrr_usd,logins_last_90d,support_tickets_90d,days_since_last_login,nps_score,renewal_date,churned,cancellation_reason
ACC-10000,SMB,Standard,27,15,$200.83,48,2,43,9,Mar 2027,0,
ACC-10001,Mid-Market,Standard,38,31,254.44,8,0,47,3,2027-02-14,1,missing feature
ACC-10002,SMB,Enterprise,47,2,1366.33,53,0,14,5,2026-05-27,0,
ACC-10003,SMB,Basic,10,11,$73.02,12,4,0,10,02/13/2026,0,
ACC-10004,SMB,Basic,16,75,132.76,3,3,62,3,06-Jun-2026,1,
ACC-10005,Mid-Market,Basic,1,4,51.66,22,2,20,7,07-Jun-2026,0,
ACC-10006,Enterprise,Premium,40,11,$603.35,97,4,0, ,06-Mar-2027,0,
ACC-10007,Mid-Market, Premium,17,17,597.57,39,1,19,7,20-Jun-2026,0,
ACC-10008,SMB,Standard,11,66,$439.80,52,1,16,7,2027-04-14,0,
ACC-10009,SMB,Enterprise,45,18,"$2,067.68",43,0,7,10,Sep 2026,0,
ACC-10010,Mid-Market,Standard,44,3,$151.09,null,1,10,4,2026-04-27,0,
ACC-10011,SMB,Standard,32,1,$163.98,34,0,4,4,2026-12-11,0,
ACC-10012,Mid-Market,Standard,40,2,$178.43,28,0,17,10,14-Jul-2026,0,
ACC-10013,SMB,Basic,12,2,61.37,3,2,10,5,02/07/2027,0,
ACC-10014,SMB,Premium,39,115,"$1,341.75",25,0,19,6,04-Mar-2027,0,
ACC-10015,SMB,Standard,8,10,180.82,20,2,4,null,01/07/2026,1,switched vendor
ACC-10016,Enterprise, Enterprise,55,5,"$1,400.71",61,4,29,8,11-Aug-2026,0,
ACC-10017,Mid-Market,Enterprise,6,7,"$1,577.65",45,1,71,3,Jul 2026,1,price
ACC-10018,SMB,Premium,26,3,389.49,29,3,14,9,2026-11-01,0,
ACC-10019,SMB,Enterprise,21,20,1568.01,null,7,4,9,2026-12-26,0,
ACC-10020,Enterprise,Standard,27,38,319.80,30,4,59,4,05/01/2027,1,budget cut
