month,region,channel,units_sold,revenue_usd,returns_usd,notes
01-Jan-2022, West,Online,184,73371.92,424.56,
2022-01-01,Midwest,Online,140,59031.09,1691.03,
Jan 2022,Northeast,Direct,151,69263.62,"$2,528.72",partial month
01-Jan-2022,South,Partner,98,46986.62,1188.19,restated
02/01/2022,West,Online,190,"$82,177.01",1945.17,bulk order
2022-02-01,Midwest,Online,121,61256.54,1125.52,
Feb 2022,Northeast,Partner,139,66815.74,1511.51,restated
2022-13-01,South,Direct,114,"$55,538.53",1854.74,
2022-03-01,West,Online,230,93525.20,1007.81,partial month
01-Mar-2022,Midwest,Partner,130,64445.01,1207.68,
Mar 2022,Northeast,Direct,174,82418.64,837.26,bulk order
03/01/2022,South,Online,126,"$56,399.57",1356.74,bulk order
04/01/2022,West,Direct,273,111389.11,1826.15,restated
01-Apr-2022,Midwest,Direct,166,null,2578.80,partial month
2022-04-01,Northeast,Direct,160,81733.60,850.79,
2022-04-01,South,Online,146,"$71,037.16",1275.42,
2022-05-01,West,Online,261,"$122,909.73","$2,557.87",
May 2022,Midwest,Partner,146,"$74,813.73",$998.11,bulk order
05/01/2022,Northeast,Direct,233,97168.00,3662.89,restated
2022-05-01,South,Partner,181,-,1583.48,
06/01/2022,West,Direct,241,"$121,498.86",2484.66,bulk order
2022-06-01,Midwest,Online,151,76756.19,2269.56,
Jun 2022,Northeast,Partner,244,114066.35,2938.80,
06/01/2022,South,Partner,171,78825.62,2209.98,
01-Jul-2022,West,Online,298,128451.21,1008.96,partial month
07/01/2022,Midwest,Direct,182,"$88,156.80","$1,085.44",partial month
Jul 2022,NORTHEAST,Partner,234,"$109,598.58",2084.06,
2022-07-01,South,Online,199,"$78,840.74",2469.14,bulk order
Aug 2022,West,Partner,220,"$97,089.14","$1,301.11",
08/01/2022,Midwest,Online,205,"$88,172.41",516.95,
01-Aug-2022,Northeast,Direct,250,"$110,383.40",3075.19,
08/01/2022,South,Direct,184,"$84,004.03",2836.08,
Sep 2022,West,Direct,290,"$112,461.75",2877.49,bulk order
2022-09-01,Midwest,Direct,182,"$80,076.79",2036.97,
Sep 2022, Northeast,Partner,167,86147.60,2275.15,partial month
Sep 2022,South,Online,200,77213.08,665.68,partial month
2022-10-01, West,Direct,201,"$99,370.37","$2,923.37",restated
2022-10-01,Midwest,Direct,140,65842.86,"$1,327.46",
Oct 2022,Northeast,Direct,205,96793.22,2626.36,partial month
01-Oct-2022,South,Online,146,66649.49,893.18,
2022-11-01,West,Direct,212,91165.17,$936.29,
01-Nov-2022,MIDWEST,Direct,183,74031.64,1121.58,
Nov 2022,Northeast,Direct,173,"$88,953.70",1315.43,
01-Nov-2022,South,Partner,115,"$60,126.57",1646.23,partial month
Dec 2022,West,Direct,192,"$84,468.62",879.56,
2022-12-01, Midwest,Direct,135,"$61,980.34",958.29,
Dec 2022,NORTHEAST,Online,134,64950.99,2044.42,partial month
12/01/2022,South,Partner,128,59449.22,2354.32,bulk order
2023-01-01,West,Direct,205,87446.66,679.34,
2023-01-01,Midwest,Partner,152,"$59,230.16",832.57,
01-Jan-2023,Northeast,Direct,185,"$80,178.21",2150.47,restated
2023-01-01,South,Online,111,"$55,861.60",583.05,
02/01/2023,West,Partner,179,77595.79,1153.94,partial month
01-Feb-2023,Midwest,Direct,130,65562.82,1254.86,bulk order
2023-02-01,Northeast,Direct,186,"$85,396.86",1359.32,bulk order
02/01/2023,South,Online,129,58443.18,2246.22,
Mar 2023,West,Partner,246,"$104,945.72",3970.87,partial month
03/01/2023,Midwest,Online,157,64034.91,"$2,163.24",bulk order
